[0 0 2]
[0 0 4]
[0 0 5]
[0 0 7]
[0 0 9]
[0 1 0]
[0 1 2]
[0 1 3]
[0 1 4]
[0 1 5]
[0 1 6]
[0 1 7]
[0 2 0]
[0 2 1]
[0 2 2]
[0 2 3]
[0 2 4]
[0 2 5]
[0 2 7]
[0 3 0]
[0 3 1]
[0 3 2]
[0 3 3]
[0 3 4]
[0 3 8]
[0 4 0]
[0 4 1]
[0 4 2]
[0 4 3]
[0 4 5]
[0 4 7]
[0 5 0]
[0 5 1]
[0 5 2]
[0 5 3]
[0 5 4]
[0 5 5]
[0 6 0]
[0 6 1]
[0 6 2]
[0 6 4]
[0 6 6]
[0 7 0]
[0 8 0]
[0 9 0]
[ 7  0 10]
[7 1 1]
[7 1 3]
[7 1 5]
[7 2 0]
[7 2 6]
[7 2 8]
[7 2 9]
[7 3 0]
[7 3 2]
[7 6 4]
[7 7 5]
[  7 242   2]
[  7 243  10]
[  7 246   7]
[  7 248   9]
[  7 249   4]
[  7 249   7]
[  7 250   8]
[  7 250  10]
[  7 250  12]
[  7 251   3]
[  7 251   5]
[  7 251   6]
[  7 252   9]
[  7 252  11]
[  7 253   0]
[  7 253   4]
[  7 253   6]
[  7 254   0]
[  7 254  15]
[  7 255   0]
[  7 255   3]
[  7 255   4]
[  7 255   5]
[  7 255   6]
[  7 255   7]
[  7 255   8]
[  7 255   9]
[  7 255  10]
[  7 255  12]
[8 0 6]
[8 2 4]
[8 3 7]
[8 3 9]
[8 6 7]
[ 8  6 11]
[  8 241   9]
[  8 243  16]
[  8 245   9]
[  8 246  12]
[  8 247   4]
[  8 247   8]
[  8 249  10]
[  8 249  12]
[  8 249  14]
[  8 250   6]
[  8 250   8]
[  8 251   1]
[  8 251   9]
[  8 251  11]
[  8 251  13]
[  8 252   4]
[  8 252   7]
[  8 253   8]
[  8 253  10]
[  8 253  12]
[  8 254   5]
[  8 255   1]
[  8 255   2]
[  8 255   5]
[  8 255   6]
[  8 255   7]
[  8 255   8]
[  8 255   9]
[  8 255  12]
[ 9  1 12]
[9 3 7]
[9 4 8]
[ 9  4 10]
[  9 243   8]
[  9 246  10]
[  9 247  11]
[  9 247  13]
[  9 248   5]
[  9 248   7]
[  9 250  11]
[  9 251   6]
[  9 251   9]
[  9 251  17]
[  9 252  10]
[  9 252  12]
[  9 253   7]
[  9 253   8]
[  9 253  15]
[  9 254   9]
[  9 254  11]
[  9 255   6]
[  9 255  13]
[ 10 242  16]
[ 10 243  11]
[ 10 243  12]
[ 10 244   9]
[ 10 246  14]
[ 10 246  16]
[ 10 247   9]
[ 10 247  11]
[ 10 247  17]
[ 10 248   5]
[ 10 248  12]
[ 10 248  14]
[ 10 249   6]
[ 10 249  10]
[ 10 250   5]
[ 10 251  16]
[ 10 252   8]
[ 10 252  10]
[ 10 253   5]
[ 10 253  15]
[ 10 254   9]
[ 10 255  10]
[ 10 255  14]
[ 11 240  15]
[ 11 241  11]
[ 11 242  14]
[ 11 242  16]
[ 11 243   9]
[ 11 243  11]
[ 11 243  17]
[ 11 244  12]
[ 11 244  15]
[ 11 245   8]
[ 11 245  10]
[ 11 247  14]
[ 11 247  15]
[ 11 247  17]
[ 11 248   8]
[ 11 248  12]
[ 11 249  13]
[ 11 249  16]
[ 11 250   9]
[ 11 250  11]
[ 11 251   6]
[ 11 252  13]
[ 11 254  12]
[ 11 254  14]
[ 11 255   7]
[ 12 241  14]
[ 12 241  18]
[ 12 242   9]
[ 12 242  11]
[ 12 242  12]
[ 12 243  13]
[ 12 243  17]
[ 12 244  12]
[ 12 245  13]
[ 12 245  14]
[ 12 245  16]
[ 12 246  11]
[ 12 248  15]
[ 12 248  16]
[ 12 248  18]
[ 12 249  11]
[ 12 250  14]
[ 12 251   8]
[ 12 251  12]
[ 12 254  12]
[ 13 237  16]
[ 13 240  10]
[ 13 240  13]
[ 13 242  15]
[ 13 243  10]
[ 13 243  13]
[ 13 244  14]
[ 13 244  16]
[ 13 244  18]
[ 13 245  11]
[ 13 245  13]
[ 13 246  14]
[ 13 246  15]
[ 13 246  17]
[ 13 247  10]
[ 13 247  12]
[ 13 249  16]
[ 13 249  19]
[ 13 250  10]
[ 13 250  12]
[ 13 251   5]
[ 13 251  15]
[ 13 251  17]
[ 13 254  19]
[ 13 255  13]
[ 14 236  13]
[ 14 240  10]
[ 14 240  16]
[ 14 240  18]
[ 14 240  19]
[ 14 241  14]
[ 14 242  21]
[ 14 243  18]
[ 14 243  20]
[ 14 244  11]
[ 14 244  14]
[ 14 244  22]
[ 14 245  15]
[ 14 245  17]
[ 14 245  19]
[ 14 245  25]
[ 14 246  12]
[ 14 246  14]
[ 14 247  15]
[ 14 247  16]
[ 14 248  13]
[ 14 251  21]
[ 14 254   9]
[ 15 236  21]
[ 15 239  18]
[ 15 240  14]
[ 15 240  16]
[ 15 241   9]
[ 15 241  17]
[ 15 241  19]
[ 15 242  13]
[ 15 244  17]
[ 15 244  19]
[ 15 244  21]
[ 15 245  12]
[ 15 245  14]
[ 15 245  15]
[ 15 246  16]
[ 15 246  18]
[ 15 247  13]
[ 15 247  15]
[ 15 248  16]
[ 15 248  17]
[ 15 249  14]
[ 15 251  18]
[ 15 252  14]
[ 16 236  16]
[ 16 240  19]
[ 16 240  20]
[ 16 241  15]
[ 16 241  17]
[ 16 242  18]
[ 16 242  20]
[ 16 243  16]
[ 16 245  18]
[ 16 245  22]
[ 16 246  16]
[ 16 247  11]
[ 16 247  17]
[ 16 247  19]
[ 16 247  21]
[ 16 248  16]
[ 16 248  22]
[ 16 253  17]
[ 16 254  21]
[ 17 236  20]
[ 17 236  22]
[ 17 238  19]
[ 17 238  23]
[ 17 239  14]
[ 17 239  16]
[ 17 240  12]
[ 17 241  20]
[ 17 242  16]
[ 17 242  18]
[ 17 242  24]
[ 17 243  11]
[ 17 243  19]
[ 17 243  21]
[ 17 243  22]
[ 17 244  14]
[ 17 244  15]
[ 17 244  17]
[ 17 245   8]
[ 17 245  26]
[ 17 246  19]
[ 17 246  23]
[ 17 247  14]
[ 17 247  16]
[ 17 250  19]
[ 18 237  23]
[ 18 239  20]
[ 18 239  24]
[ 18 240  15]
[ 18 240  17]
[ 18 240  19]
[ 18 241  13]
[ 18 241  26]
[ 18 242  21]
[ 18 242  22]
[ 18 242  24]
[ 18 243  17]
[ 18 243  19]
[ 18 244  20]
[ 18 244  22]
[ 18 245  15]
[ 18 245  16]
[ 18 245  18]
[ 18 246  25]
[ 18 247  24]
[ 18 248  18]
[ 18 248  25]
[ 18 249  19]
[ 18 249  21]
[ 18 251  20]
[ 18 252  17]
[ 19 236  21]
[ 19 237  19]
[ 19 238  20]
[ 19 239  17]
[ 19 239  19]
[ 19 239  27]
[ 19 240  21]
[ 19 240  23]
[ 19 240  25]
[ 19 241  16]
[ 19 241  18]
[ 19 241  20]
[ 19 242  27]
[ 19 243  22]
[ 19 243  23]
[ 19 243  25]
[ 19 244  16]
[ 19 244  20]
[ 19 245  21]
[ 19 246  16]
[ 19 246  17]
[ 19 246  19]
[ 19 247  14]
[ 20 234  26]
[ 20 235  20]
[ 20 237  24]
[ 20 238  20]
[ 20 239  21]
[ 20 239  23]
[ 20 239  25]
[ 20 240  20]
[ 20 241  16]
[ 20 241  22]
[ 20 241  26]
[ 20 242  17]
[ 20 242  19]
[ 20 242  21]
[ 20 243  15]
[ 20 243  28]
[ 20 244  23]
[ 20 245  21]
[ 20 246  25]
[ 20 247  17]
[ 20 247  18]
[ 20 249  22]
[ 21 233  24]
[ 21 234  22]
[ 21 235  23]
[ 21 238  23]
[ 21 238  25]
[ 21 238  27]
[ 21 239  20]
[ 21 239  21]
[ 21 239  28]
[ 21 240  16]
[ 21 240  22]
[ 21 240  24]
[ 21 240  26]
[ 21 241  19]
[ 21 241  21]
[ 21 242  15]
[ 21 242  17]
[ 21 242  23]
[ 21 242  25]
[ 21 242  27]
[ 21 243  18]
[ 21 243  20]
[ 21 243  22]
[ 21 245  24]
[ 21 245  25]
[ 21 246  20]
[ 21 247  23]
[ 21 247  26]
[ 21 249  14]
[ 21 249  16]
[ 22 234  27]
[ 22 236  28]
[ 22 237  19]
[ 22 237  22]
[ 22 238  17]
[ 22 238  31]
[ 22 239  24]
[ 22 239  26]
[ 22 240  21]
[ 22 240  22]
[ 22 240  29]
[ 22 241  23]
[ 22 241  25]
[ 22 242  20]
[ 22 242  22]
[ 22 243  15]
[ 22 243  18]
[ 22 243  24]
[ 22 243  26]
[ 22 244  23]
[ 22 246  25]
[ 22 246  26]
[ 22 247  21]
[ 23 235  29]
[ 23 238  23]
[ 23 239  18]
[ 23 239  32]
[ 23 240  25]
[ 23 240  27]
[ 23 241  20]
[ 23 241  22]
[ 23 241  23]
[ 23 242  18]
[ 23 242  24]
[ 23 242  26]
[ 23 243  21]
[ 23 243  23]
[ 23 244  17]
[ 23 244  27]
[ 23 245  22]
[ 23 245  24]
[ 24 229  26]
[ 24 233  28]
[ 24 234  23]
[ 24 235  32]
[ 24 235  36]
[ 24 236  30]
[ 24 237  23]
[ 24 238  18]
[ 24 238  26]
[ 24 238  28]
[ 24 239  21]
[ 24 239  22]
[ 24 239  24]
[ 24 240  19]
[ 24 241  26]
[ 24 241  28]
[ 24 242  24]
[ 24 243  27]
[ 24 244  22]
[ 24 244  24]
[ 24 246  23]
[ 25 233  25]
[ 25 233  27]
[ 25 234  31]
[ 25 235  26]
[ 25 237  28]
[ 25 237  30]
[ 25 238  22]
[ 25 238  24]
[ 25 238  26]
[ 25 239  19]
[ 25 239  27]
[ 25 240  22]
[ 25 240  23]
[ 25 240  25]
[ 25 241  20]
[ 25 242  27]
[ 25 243  22]
[ 25 243  24]
[ 25 243  25]
[ 25 244  28]
[ 25 245  23]
[ 25 245  25]
[ 26 231  28]
[ 26 231  30]
[ 26 232  33]
[ 26 236  23]
[ 26 237  20]
[ 26 237  21]
[ 26 238  29]
[ 26 238  31]
[ 26 239  23]
[ 26 240  20]
[ 26 242  21]
[ 26 243  28]
[ 26 244  26]
[ 26 245  27]
[ 27 228  26]
[ 27 232  29]
[ 27 232  31]
[ 27 233  26]
[ 27 233  28]
[ 27 234  30]
[ 27 235  27]
[ 27 236  30]
[ 27 236  31]
[ 27 236  33]
[ 27 237  26]
[ 27 237  28]
[ 27 238  22]
[ 27 240  26]
[ 27 241  23]
[ 27 241  31]
[ 27 242  25]
[ 27 243  18]
[ 27 243  22]
[ 28 224  30]
[ 28 233  30]
[ 28 233  32]
[ 28 234  27]
[ 28 234  29]
[ 28 235  31]
[ 28 235  33]
[ 28 237  24]
[ 28 237  31]
[ 28 238  25]
[ 28 238  29]
[ 28 240  31]
[ 28 241  27]
[ 28 241  29]
[ 29 226  32]
[ 29 230  30]
[ 29 231  31]
[ 29 231  33]
[ 29 232  28]
[ 29 233  37]
[ 29 234  31]
[ 29 235  30]
[ 29 235  36]
[ 29 236  26]
[ 29 236  32]
[ 29 236  34]
[ 29 238  25]
[ 29 238  32]
[ 29 240  24]
[ 29 242  28]
[ 30 226  32]
[ 30 227  36]
[ 30 231  28]
[ 30 232  32]
[ 30 232  36]
[ 30 233  29]
[ 30 233  30]
[ 30 235  32]
[ 30 235  36]
[ 30 236  31]
[ 30 236  39]
[ 30 238  32]
[ 30 239  24]
[ 30 239  34]
[ 30 239  36]
[ 31 226  36]
[ 31 228  34]
[ 31 229  30]
[ 31 230  39]
[ 31 231  34]
[ 31 231  36]
[ 31 232  30]
[ 31 232  32]
[ 31 233  33]
[ 31 233  35]
[ 31 234  28]
[ 31 234  31]
[ 31 235  26]
[ 31 236  35]
[ 31 237  30]
[ 31 239  33]
[ 32 226  31]
[ 32 229  35]
[ 32 229  38]
[ 32 230  33]
[ 32 232  35]
[ 32 233  30]
[ 32 233  31]
[ 32 234  34]
[ 32 234  36]
[ 32 235  31]
[ 32 236  27]
[ 32 238  31]
[ 33 221  36]
[ 33 227  34]
[ 33 227  35]
[ 33 228  36]
[ 33 229  31]
[ 33 229  33]
[ 33 229  35]
[ 33 231  32]
[ 33 231  34]
[ 33 234  31]
[ 33 235  39]
[ 33 236  30]
[ 33 236  32]
[ 33 236  33]
[ 34 223  32]
[ 34 227  38]
[ 34 228  33]
[ 34 228  36]
[ 34 229  37]
[ 34 231  30]
[ 34 231  37]
[ 34 231  38]
[ 34 232  31]
[ 34 232  33]
[ 34 232  35]
[ 34 234  37]
[ 34 235  33]
[ 34 237  33]
[ 34 238  27]
[ 34 238  29]
[ 34 241  29]
[ 35 226  34]
[ 35 226  35]
[ 35 227  32]
[ 35 227  43]
[ 35 228  39]
[ 35 228  41]
[ 35 229  34]
[ 35 229  36]
[ 35 229  37]
[ 35 229  44]
[ 35 230  32]
[ 35 230  38]
[ 35 230  40]
[ 35 230  42]
[ 35 231  35]
[ 35 231  37]
[ 35 231  45]
[ 35 232  31]
[ 35 232  38]
[ 35 232  39]
[ 35 232  41]
[ 35 233  34]
[ 35 233  36]
[ 35 235  41]
[ 35 236  36]
[ 35 237  29]
[ 36 225  35]
[ 36 226  40]
[ 36 227  35]
[ 36 228  31]
[ 36 228  33]
[ 36 229  40]
[ 36 230  37]
[ 36 230  38]
[ 36 231  43]
[ 36 232  36]
[ 36 232  38]
[ 36 232  46]
[ 36 233  39]
[ 36 234  33]
[ 36 234  37]
[ 36 237  34]
[ 36 237  37]
[ 36 238  32]
[ 37 223  38]
[ 37 225  43]
[ 37 226  38]
[ 37 227  41]
[ 37 228  37]
[ 37 229  34]
[ 37 230  41]
[ 37 230  43]
[ 37 231  36]
[ 37 231  39]
[ 37 232  32]
[ 37 232  34]
[ 37 232  42]
[ 37 232  44]
[ 37 233  35]
[ 37 233  37]
[ 37 233  39]
[ 37 234  40]
[ 37 235  36]
[ 37 235  38]
[ 38 223  41]
[ 38 224  39]
[ 38 226  41]
[ 38 226  43]
[ 38 227  36]
[ 38 227  37]
[ 38 227  39]
[ 38 228  32]
[ 38 228  34]
[ 38 228  40]
[ 38 228  42]
[ 38 228  44]
[ 38 229  37]
[ 38 229  38]
[ 38 230  31]
[ 38 230  35]
[ 38 232  40]
[ 38 233  35]
[ 38 233  41]
[ 38 234  40]
[ 39 222  42]
[ 39 223  37]
[ 39 223  39]
[ 39 223  41]
[ 39 225  40]
[ 39 227  44]
[ 39 228  37]
[ 39 228  38]
[ 39 229  33]
[ 39 229  41]
[ 39 229  43]
[ 39 229  45]
[ 39 230  38]
[ 39 230  39]
[ 39 230  52]
[ 39 231  34]
[ 39 232  31]
[ 39 232  43]
[ 39 233  40]
[ 39 233  41]
[ 39 235  39]
[ 39 236  43]
[ 39 237  38]
[ 40 218  34]
[ 40 219  39]
[ 40 221  48]
[ 40 224  42]
[ 40 226  39]
[ 40 226  41]
[ 40 228  43]
[ 40 229  38]
[ 40 229  39]
[ 40 229  41]
[ 40 231  39]
[ 40 231  40]
[ 40 232  37]
[ 40 234  39]
[ 41 223  40]
[ 41 223  50]
[ 41 224  48]
[ 41 225  39]
[ 41 225  41]
[ 41 225  43]
[ 41 226  36]
[ 41 226  37]
[ 41 226  44]
[ 41 226  45]
[ 41 226  47]
[ 41 227  38]
[ 41 227  42]
[ 41 228  37]
[ 41 230  39]
[ 41 230  42]
[ 41 235  42]
[ 42 224  41]
[ 42 224  43]
[ 42 224  44]
[ 42 225  37]
[ 42 225  45]
[ 42 226  40]
[ 42 226  42]
[ 42 226  44]
[ 42 227  37]
[ 42 227  38]
[ 42 227  45]
[ 42 228  41]
[ 42 232  44]
[ 42 232  46]
[ 42 233  41]
[ 43 212  47]
[ 43 213  44]
[ 43 213  46]
[ 43 219  46]
[ 43 221  49]
[ 43 222  42]
[ 43 222  43]
[ 43 223  40]
[ 43 225  42]
[ 43 225  44]
[ 43 225  45]
[ 43 226  40]
[ 43 226  46]
[ 43 227  43]
[ 43 227  45]
[ 43 228  36]
[ 43 228  46]
[ 43 229  40]
[ 43 229  42]
[ 43 230  39]
[ 43 231  46]
[ 43 232  42]
[ 43 237  45]
[ 44 220  49]
[ 44 222  40]
[ 44 222  50]
[ 44 223  43]
[ 44 223  44]
[ 44 225  48]
[ 44 226  45]
[ 44 227  49]
[ 44 229  39]
[ 44 230  45]
[ 44 231  40]
[ 45 217  47]
[ 45 218  41]
[ 45 218  48]
[ 45 219  46]
[ 45 220  53]
[ 45 221  48]
[ 45 221  50]
[ 45 222  46]
[ 45 223  41]
[ 45 223  49]
[ 45 224  44]
[ 45 224  45]
[ 45 224  47]
[ 45 226  53]
[ 45 227  44]
[ 45 227  47]
[ 45 229  43]
[ 45 229  47]
[ 45 230  40]
[ 46 213  47]
[ 46 217  51]
[ 46 220  45]
[ 46 222  49]
[ 46 222  51]
[ 46 222  53]
[ 46 223  45]
[ 46 224  42]
[ 46 224  50]
[ 46 225  48]
[ 46 226  39]
[ 46 226  43]
[ 46 228  47]
[ 46 228  48]
[ 46 229  43]
[ 46 233  38]
[ 46 233  40]
[ 47 216  55]
[ 47 217  46]
[ 47 217  50]
[ 47 220  43]
[ 47 220  50]
[ 47 220  52]
[ 47 221  46]
[ 47 221  48]
[ 47 222  43]
[ 47 224  46]
[ 47 226  46]
[ 47 226  49]
[ 47 227  44]
[ 48 215  47]
[ 48 218  49]
[ 48 218  51]
[ 48 219  52]
[ 48 219  53]
[ 48 220  46]
[ 48 220  50]
[ 48 221  43]
[ 48 221  51]
[ 48 221  53]
[ 48 222  45]
[ 48 222  47]
[ 48 224  51]
[ 48 224  53]
[ 48 225  49]
[ 48 227  47]
[ 48 227  50]
[ 49 209  49]
[ 49 213  54]
[ 49 216  50]
[ 49 218  53]
[ 49 218  55]
[ 49 219  48]
[ 49 219  50]
[ 49 219  52]
[ 49 220  44]
[ 49 220  54]
[ 49 221  47]
[ 49 221  49]
[ 49 221  51]
[ 49 222  44]
[ 49 222  52]
[ 49 222  55]
[ 49 223  48]
[ 49 223  50]
[ 50 212  48]
[ 50 212  51]
[ 50 215  50]
[ 50 215  59]
[ 50 217  51]
[ 50 217  52]
[ 50 218  47]
[ 50 219  54]
[ 50 220  49]
[ 50 220  53]
[ 50 221  54]
[ 50 221  55]
[ 50 222  50]
[ 50 223  55]
[ 50 224  47]
[ 50 224  49]
[ 50 225  46]
[ 51 211  51]
[ 51 211  53]
[ 51 212  57]
[ 51 215  58]
[ 51 216  52]
[ 51 216  54]
[ 51 217  49]
[ 51 217  55]
[ 51 218  50]
[ 51 218  53]
[ 51 219  46]
[ 51 219  48]
[ 51 221  50]
[ 51 221  52]
[ 51 222  48]
[ 51 222  55]
[ 51 223  51]
[ 51 223  53]
[ 51 224  56]
[ 52 213  49]
[ 52 213  57]
[ 52 216  57]
[ 52 217  52]
[ 52 218  56]
[ 52 219  44]
[ 52 219  51]
[ 52 219  53]
[ 52 219  54]
[ 52 220  47]
[ 52 221  56]
[ 52 221  58]
[ 52 223  46]
[ 52 224  50]
[ 52 225  57]
[ 53 212  58]
[ 53 213  53]
[ 53 213  55]
[ 53 213  61]
[ 53 214  56]
[ 53 215  52]
[ 53 215  54]
[ 53 216  49]
[ 53 217  58]
[ 53 217  60]
[ 53 218  53]
[ 53 218  54]
[ 53 218  56]
[ 53 219  49]
[ 53 219  51]
[ 53 220  52]
[ 53 220  54]
[ 53 220  55]
[ 53 221  50]
[ 53 224  50]
[ 54 208  50]
[ 54 212  55]
[ 54 213  51]
[ 54 213  58]
[ 54 213  59]
[ 54 214  52]
[ 54 214  54]
[ 54 214  56]
[ 54 215  47]
[ 54 215  51]
[ 54 215  59]
[ 54 215  60]
[ 54 216  52]
